CAS,ModelCode,ShowDataWarning,UserModified,DoNotShowValue,Value,RefID,DataFlag,Comments,Minimum Value,Maximum Value,Units,Instructions,Parameter Description
732263,temp_ref_aer_all,FALSE,FALSE,FALSE,25,143,,,,,[C],Fixed Value: copy data from cols E-H as is,Reference temperature for water column degradation
732263,temp_ref_anae_all,FALSE,FALSE,FALSE,25,143,,,,,[C],Fixed Value: copy data from cols E-H as is,Reference temperature for benthic degradation
732263,UseRfDPath,FALSE,FALSE,TRUE,0,146,,,,,NA,Fixed Value: copy data from cols E-H as is,True if pathway-specific value is to be used
732263,BCF_beef,TRUE,FALSE,FALSE,0.45306630418645,49,C,"RTI, 2005",0,8000,[mg/kg beef]/[mg/kg DW],Can be calculated: copy data from cols E-H to flag for calculation,Bioconcentration factor (beef)
732263,BCF_milk,TRUE,FALSE,FALSE,0.160914039319856,49,C,"RTI, 2005",0,16000,[mg/kg milk]/[mg/kg DW],Can be calculated: copy data from cols E-H to flag for calculation,Bioconcentration factor (milk)
732263,BrExfruit,TRUE,FALSE,FALSE,0.0121708244983162,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer (soil to exposed fruit)
732263,BrExveg,TRUE,FALSE,FALSE,0.0121708244983162,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to exposed vegetables)
732263,BrForage,TRUE,FALSE,FALSE,0.0121708244983162,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to forage)
732263,BrGrain,TRUE,FALSE,FALSE,0.0121708244983162,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to grain)
732263,BrProfruit,TRUE,FALSE,FALSE,0.0121708244983162,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to protected fruit)
732263,BrProveg,TRUE,FALSE,FALSE,0.0121708244983162,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to protected vegetables)
732263,BrSilage,TRUE,FALSE,FALSE,0.0121708244983162,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to silage)
732263,Bv,TRUE,FALSE,FALSE,8282.48031781031,5,C,"Bacci et al., 1992",0,1000000000,[ug/g DW plant]/[ug/g air],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer factor (vapor phase air to all plants)
732263,RCF,TRUE,FALSE,FALSE,1400.23200478585,9,C,"Briggs et al., 1982",0,1000000,[ug/g WW plant]/[ug/mL soil water],Can be calculated: copy data from cols E-H to flag for calculation,Root concentration factor
732263,BCF_T3F,FALSE,FALSE,FALSE,13776.9,280,D,Supplied from CompTox using geoemtric mean of OPERA values.,0,1000000000,[mg/kg fish]/[mg/L water],Default available: copy data from cols E-H for defaults,"Bioaccumulation factor (TL3 fish, filet; used for human)"
732263,BCF_T3W,FALSE,FALSE,FALSE,13776.9,280,D,Supplied from CompTox using geoemtric mean of OPERA values.,0,1000000000,[mg/kg fish]/[mg/L water],Default available: copy data from cols E-H for defaults,"Bioaccumulation factor (TL3 fish, whole; used for eco)"
732263,BCF_T4F,FALSE,FALSE,FALSE,13776.9,280,D,Supplied from CompTox using geoemtric mean of OPERA values.,0,1000000000,[mg/kg fish]/[mg/L water],Default available: copy data from cols E-H for defaults,"Bioaccumulation factor (TL4 fish, filet; used for human)"
732263,BCF_T4W,FALSE,FALSE,FALSE,13776.9,280,D,Supplied from CompTox using geoemtric mean of OPERA values.,0,1000000000,[mg/kg fish]/[mg/L water],Default available: copy data from cols E-H for defaults,"Bioaccumulation factor (TL4 fish, whole; used for eco)"
732263,C_in,FALSE,FALSE,FALSE,0,143,D,,0,1000000,[mg/L],Default available: copy data from cols E-H for defaults,Chemical concentration (surface disposal influent)
732263,CSFOral,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,1000000,[per mg/kg-day],Default available: copy data from cols E-H for defaults,Oral cancer slope factor (human toxicity)
732263,Heat_of_Henry,FALSE,FALSE,FALSE,50000,143,D,,0,100000,[J/mol],Default available: copy data from cols E-H for defaults,Enthalpy of phase transform. from aqueous to air solution
732263,IUR,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,1000000,[ug/m3]^-1,Default available: copy data from cols E-H for defaults,"Inhalation unit risk (human toxicity, cancer)"
732263,Kaer,FALSE,FALSE,FALSE,0,143,D,,0,50,(1/day),Default available: copy data from cols E-H for defaults,Aerobic biodegradation rate (surface-water column)
732263,Kanaer,FALSE,FALSE,FALSE,0,143,D,,0,2,[1/day],Default available: copy data from cols E-H for defaults,Anaerobic degradation rate (sediment)
732263,Kh,FALSE,FALSE,FALSE,0,143,D,,0,50,[1/day],Default available: copy data from cols E-H for defaults,Hydrolysis rate
732263,Kpo,FALSE,FALSE,FALSE,0,143,D,,0,50,(1/day),Default available: copy data from cols E-H for defaults,Photolysis degradation rate in surface- water column
732263,ksoil,FALSE,FALSE,FALSE,0,143,D,,0,100,[1/day],Default available: copy data from cols E-H for defaults,Biodegradation rate (soil)
732263,Ref_BMD_Bird,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg chem/kg BW/day],Default available: copy data from cols E-H for defaults,Reference benchmark dose (bird)
732263,Ref_BMD_Mammal,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg chem/kg BW/day],Default available: copy data from cols E-H for defaults,Reference benchmark dose (mammal)
732263,Ref_BW_Bird,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,2000,[kg],Default available: copy data from cols E-H for defaults,Reference body weight (bird)
732263,Ref_BW_Mammal,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,2000,[kg],Default available: copy data from cols E-H for defaults,Reference body weight (mammal)
732263,RfC,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg/m3],Default available: copy data from cols E-H for defaults,"Reference concentration (human toxicity, noncancer)"
732263,RfD,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg/kg-day],Default available: copy data from cols E-H for defaults,"Reference dose (human toxicity, noncancer)"
732263,RfD_fish,FALSE,FALSE,TRUE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg/kg-day],Default available: copy data from cols E-H for defaults,Reference dose specific to fish (generally = RfD)
732263,RfD_food,FALSE,FALSE,TRUE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg/kg-day],Default available: copy data from cols E-H for defaults,Reference dose specific to food (generally = RfD)
732263,RfD_soil,FALSE,FALSE,TRUE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg/kg-day],Default available: copy data from cols E-H for defaults,Reference dose specific to soil (generally = RfD)
732263,RfD_water,FALSE,FALSE,TRUE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg/kg-day],Default available: copy data from cols E-H for defaults,Reference dose specific to water (generally = RfD)
732263,Sol,FALSE,FALSE,FALSE,100000,143,D,,1E-12,1000000,[mg/L],Default available: copy data from cols E-H for defaults,Solubility
732263,tb,FALSE,FALSE,TRUE,100,143,D,,0,5000,[deg C],Default available: copy data from cols E-H for defaults,Boiling point
732263,CTPWasteDry,FALSE,FALSE,FALSE,0.001,190,,,2.5E-15,1000000,[ug/g DW],"Must enter data. For RefID, see list of common sources and RefIDs; if source not among those, leave the RefID 190 (user supplied) and enter short ref name in comments",Dry biosolids concentration
732263,Da,FALSE,FALSE,FALSE,0.0481950271707107,190,,FSG method: https://www3.epa.gov/ceampubl/learn2model/part-two/onsite/ed-background.html,0,1,[cm2/s],"Must enter data. For RefID, see list of common sources and RefIDs; if source not among those, leave the RefID 190 (user supplied) and enter short ref name in comments",Diffusivity in air
732263,Dw,FALSE,FALSE,FALSE,5.38889858971844e-06,190,,HL method: https://www3.epa.gov/ceampubl/learn2model/part-two/onsite/ed-background.html,0,0.01,[cm2/s],"Must enter data. For RefID, see list of common sources and RefIDs; if source not among those, leave the RefID 190 (user supplied) and enter short ref name in comments",Diffusion coefficient in water
732263,HLC,FALSE,FALSE,FALSE,1.91931e-05,279,,,0,10,[atm-m3/mol],"Must enter data. For RefID, see list of common sources and RefIDs; if source not among those, leave the RefID 190 (user supplied) and enter short ref name in comments",Henry's law constant
732263,Koc,FALSE,FALSE,FALSE,18582.9,279,,,0,1000000000,[mL/g],"Must enter data. For RefID, see list of common sources and RefIDs; if source not among those, leave the RefID 190 (user supplied) and enter short ref name in comments",Organic carbon partition coefficient
732263,LogKow,FALSE,FALSE,FALSE,6.06,279,,,-4,12,[log units],"Must enter data. For RefID, see list of common sources and RefIDs; if source not among those, leave the RefID 190 (user supplied) and enter short ref name in comments",Octanol-water partition coefficient
732263,MW,FALSE,FALSE,FALSE,262.229665586,279,,,6,1000,[g/mol],"Must enter data. For RefID, see list of common sources and RefIDs; if source not among those, leave the RefID 190 (user supplied) and enter short ref name in comments",Molecular weight
100027,CAS,FALSE,FALSE,FALSE,100027,279,,,,,NA,Must enter data,"CAS number, no hyphens"
100027,ChemName,FALSE,FALSE,FALSE,4-Nitrophenol,279,,,,,NA,Must enter data,Chemical name (should match name in tbl_Chemicals)
100027,ChemType,FALSE,FALSE,TRUE,O,146,,,,,NA,Fixed Value: copy data from cols E-H as is,"Chemical type, must be O for organics"
100027,AntB,FALSE,FALSE,TRUE,-9999,143,D,,,,"[C, atm]",Fixed Value: copy data from cols E-H as is,Antoine's vapor pressure equation coefficient B
100027,AntC,FALSE,FALSE,TRUE,-9999,143,D,,,,"[C, atm]",Fixed Value: copy data from cols E-H as is,Antoine's vapor pressure equation coefficient C
100027,Bs,FALSE,FALSE,TRUE,1,144,,Always 1,,,[fraction],Fixed Value: copy data from cols E-H as is,Bioavailability of contaminant in soil relative to vegetation
100027,CTPwaste,FALSE,FALSE,TRUE,4e-04,145,C,Calculated,0,,[ug/g WW],Fixed Value: copy data from cols E-H as is,Wet biosolids concentration
100027,KpPar,FALSE,FALSE,TRUE,18.07,25,,Constant,,,[1/yr],Fixed Value: copy data from cols E-H as is,Plant surface loss coefficient (particulate)
100027,Pc,FALSE,FALSE,TRUE,-9999,143,D,,,,[atm],Fixed Value: copy data from cols E-H as is,Critical pressure
100027,tc,FALSE,FALSE,TRUE,-9999,143,D,,,,[deg C],Fixed Value: copy data from cols E-H as is,Critical temperature
100027,temp_ref_aer_all,FALSE,FALSE,FALSE,25,143,,,,,[C],Fixed Value: copy data from cols E-H as is,Reference temperature for water column degradation
100027,temp_ref_anae_all,FALSE,FALSE,FALSE,25,143,,,,,[C],Fixed Value: copy data from cols E-H as is,Reference temperature for benthic degradation
100027,UseRfDPath,FALSE,FALSE,TRUE,0,146,,,,,NA,Fixed Value: copy data from cols E-H as is,True if pathway-specific value is to be used
100027,BCF_beef,TRUE,FALSE,FALSE,0.0309126519177368,49,C,"RTI, 2005",0,8000,[mg/kg beef]/[mg/kg DW],Can be calculated: copy data from cols E-H to flag for calculation,Bioconcentration factor (beef)
100027,BCF_milk,TRUE,FALSE,FALSE,0.0109791428764578,49,C,"RTI, 2005",0,16000,[mg/kg milk]/[mg/kg DW],Can be calculated: copy data from cols E-H to flag for calculation,Bioconcentration factor (milk)
100027,BrExfruit,TRUE,FALSE,FALSE,3.04803535361132,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer (soil to exposed fruit)
100027,BrExveg,TRUE,FALSE,FALSE,3.04803535361132,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to exposed vegetables)
100027,BrForage,TRUE,FALSE,FALSE,3.04803535361132,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to forage)
100027,BrGrain,TRUE,FALSE,FALSE,3.04803535361132,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to grain)
100027,BrProfruit,TRUE,FALSE,FALSE,3.04803535361132,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to protected fruit)
100027,BrProveg,TRUE,FALSE,FALSE,3.04803535361132,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to protected vegetables)
100027,BrSilage,TRUE,FALSE,FALSE,3.04803535361132,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to silage)
100027,Bv,TRUE,FALSE,FALSE,99.1347015757079,5,C,"Bacci et al., 1992",0,1000000000,[ug/g DW plant]/[ug/g air],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer factor (vapor phase air to all plants)
100027,RCF,TRUE,FALSE,FALSE,1.71268862324679,9,C,"Briggs et al., 1982",0,1000000,[ug/g WW plant]/[ug/mL soil water],Can be calculated: copy data from cols E-H to flag for calculation,Root concentration factor
100027,BCF_T3F,FALSE,FALSE,FALSE,9.36437262305641,279,D,Supplied from CompTox using geometric mean of ECOTOX: aquatic values.,0,1000000000,[mg/kg fish]/[mg/L water],Default available: copy data from cols E-H for defaults,"Bioaccumulation factor (TL3 fish, filet; used for human)"
100027,BCF_T3W,FALSE,FALSE,FALSE,9.36437262305641,279,D,Supplied from CompTox using geometric mean of ECOTOX: aquatic values.,0,1000000000,[mg/kg fish]/[mg/L water],Default available: copy data from cols E-H for defaults,"Bioaccumulation factor (TL3 fish, whole; used for eco)"
100027,BCF_T4F,FALSE,FALSE,FALSE,9.36437262305641,279,D,Supplied from CompTox using geometric mean of ECOTOX: aquatic values.,0,1000000000,[mg/kg fish]/[mg/L water],Default available: copy data from cols E-H for defaults,"Bioaccumulation factor (TL4 fish, filet; used for human)"
100027,BCF_T4W,FALSE,FALSE,FALSE,9.36437262305641,279,D,Supplied from CompTox using geometric mean of ECOTOX: aquatic values.,0,1000000000,[mg/kg fish]/[mg/L water],Default available: copy data from cols E-H for defaults,"Bioaccumulation factor (TL4 fish, whole; used for eco)"
100027,C_in,FALSE,FALSE,FALSE,0,143,D,,0,1000000,[mg/L],Default available: copy data from cols E-H for defaults,Chemical concentration (surface disposal influent)
100027,CSFOral,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,1000000,[per mg/kg-day],Default available: copy data from cols E-H for defaults,Oral cancer slope factor (human toxicity)
100027,Heat_of_Henry,FALSE,FALSE,FALSE,50000,143,D,,0,100000,[J/mol],Default available: copy data from cols E-H for defaults,Enthalpy of phase transform. from aqueous to air solution
