"CAS","RunID","ModelCode","Value","RefID","DataFlag","ShowDataWarning","Comments","UserModified","userComment","DoNotShowValue"
50328,,"CTPWaste","0.88",145,"C",0,"Calculated from CTPWasteDry assuming 40% solids",0,,1
57681,,"RfD_soil","0.05",20,,0,"ADI",0,,1
57681,,"RfD_water","0.05",20,,0,"ADI",0,,1
57681,,"Sol","1500",14,,0,"Experimental value at 29 deg C; at pH 7",0,,0
57681,,"tb","454.9",54,"E",0,,0,,1
57681,,"tc","-9999",143,"D",0,,0,,1
57681,,"UseRfDPath","0",146,,0,,0,,1
57830,,"AntB","-9999",143,"D",0,,0,,1
57830,,"Antc","-9999",143,"D",0,,0,,1
57830,,"BrExfruit","0.224",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
57830,,"BrExveg","0.224",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
57830,,"BrForage","0.224",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
57830,,"BrGrain","0.224",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
57830,,"BrProfruit","0.224",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
57830,,"BrProveg","0.224",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
57830,,"BrSilage","0.224",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
57830,,"Bs","1",144,,0,"Always 1",0,,1
57830,,"Bv","11400",5,"C",1,"Calculated by model based on log Kow and HLC using correlation equation in cited reference.",0,,0
57830,,"CAS","57830",146,,0,,0,,0
50282,,"AntB","-9999",143,"D",0,,0,,1
50282,,"Antc","-9999",143,"D",0,,0,,1
50282,,"BrExfruit","0.186",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
50282,,"BrExveg","0.186",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
50282,,"BrForage","0.186",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
50282,,"BrGrain","0.186",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
50282,,"BrProfruit","0.186",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
50282,,"BrProveg","0.186",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
50282,,"BrSilage","0.186",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
50282,,"Bs","1",144,,0,"Always 1",0,,1
50282,,"Bv","0",143,"Z",1,"Set to zero: HLC <1E-10.",0,,0
50282,,"CAS","50282",146,,0,,0,,0
50282,,"ChemName","Estradiol, 17ß-",146,,0,,0,,0
50282,,"ChemType","O",146,,0,,0,,1
50282,,"CSFOral","0",196,"M",0,,0,,0
50282,,"CTPWasteDry","0.067",244,,0,"Table 10; Nonparametric K-M",0,,0
50282,,"Da","0.0382",54,"E",1,,0,,0
50282,,"Dw","5.45E-6",54,"E",1,,0,,0
50282,,"HLC","0",143,"Z",1,"Low; set to zero",0,,0
50282,,"IUR","0",196,"M",0,,0,,0
50282,,"Kanaer","0.00205",18,"E",1,"Estimated ",0,,0
50282,,"kh","0",196,"M",1,,0,,0
50282,,"Koc","2570",13,,1,"Measured logKoc=3.13–3.69. Used the average inverse log.",0,,0
50282,,"KpPar","18.07",25,,0,,0,,1
50282,,"ksoil","1.45",26,,1,"Used longest half-life of range 1.45 to 3.12 in loam, silt loam and sandy loam",0,,0
57625,,"BCF_T4F","0.9",18,"E",0,,0,,0
57625,,"BCF_T4W","0.9",18,"E",0,,0,,0
57681,,"BCF_T3F","1",18,"E",0,,0,,0
57681,,"BCF_T3W","1",18,"E",0,,0,,0
57681,,"BCF_T4F","0.99",18,"E",0,,0,,0
57681,,"BCF_T4W","0.99",18,"E",0,,0,,0
57830,,"BCF_T3F","380",18,"E",0,,0,,0
57830,,"BCF_T3W","380",18,"E",0,,0,,0
57830,,"BCF_T4F","450",18,"E",0,,0,,0
57830,,"BCF_T4W","450",18,"E",0,,0,,0
58220,,"BCF_T3F","120",18,"E",0,,0,,0
50282,,"LogKow","4.01",44,,1,"Experimental value.",0,,0
50282,,"MW","272.39",44,,1,,0,,0
50282,,"Pc","-9999",143,"D",0,,0,,1
50282,,"RCF","37",9,"C",1,"Calculated by model based on log Kow using correlation equation in cited reference.",0,,0
50282,,"RfC","0",196,"M",0,,0,,0
50282,,"RfD","5e-5",20,,0,"ADI",0,,0
50282,,"RfD_fish","5e-5",20,,0,"ADI",0,,1
50282,,"RfD_food","5e-5",20,,0,"ADI",0,,1
50282,,"RfD_soil","5e-5",20,,0,"ADI",0,,1
103902,,"AntB","-9999",143,"D",0,,0,,1
103902,,"Antc","-9999",143,"D",0,,0,,1
103902,,"BrExfruit","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
103902,,"BrExveg","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
103902,,"BrForage","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
103902,,"BrGrain","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
103902,,"BrProfruit","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
103902,,"BrProveg","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
103902,,"BrSilage","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
103902,,"Bs","1",144,,0,"Always 1",0,,1
103902,,"Bv","0",143,"Z",1,"Set to zero: HLC <1E-10.",0,,0
103902,,"CAS","103902",146,,0,,0,,0
103902,,"ChemName","Acetaminophen",146,,0,,0,,0
103902,,"ChemType","O",146,,0,,0,,1
103902,,"CSFOral","0",196,"M",0,,0,,0
103902,,"CTPWasteDry","1.16",244,,0,"Table 10; Nonparametric K-M",0,,0
103902,,"Da","0.0602",54,"E",1,,0,,0
103902,,"Dw","7.95E-6",54,"E",1,,0,,0
103902,,"HLC","0",143,"Z",1,"Low; set to zero",0,,0
103902,,"IUR","0",196,"M",0,,0,,0
103902,,"Kanaer","0.00513",18,"E",1,,0,,0
103902,,"kh","0",196,"M",1,,0,,0
103902,,"Koc","42",28,,1,,0,,0
103902,,"KpPar","18.07",25,,0,,0,,1
103902,,"ksoil","0.0231",18,"E",1,,0,,0
103902,,"LogKow","0.46",44,,1,,0,,0
103902,,"MW","151",44,,1,,0,,0
103902,,"Pc","-9999",143,"D",0,,0,,1
103902,,"RCF","0.888",9,"C",1,"Calculated by model based on log Kow using correlation equation in cited reference.",0,,0
103902,,"RfC","0",196,"M",0,,0,,0
103902,,"RfD","0.34",51,,0,,0,,0
103902,,"RfD_fish","0.34",51,,0,,0,,1
103902,,"RfD_food","0.34",51,,0,,0,,1
103902,,"RfD_soil","0.34",51,,0,,0,,1
103902,,"RfD_water","0.34",51,,0,,0,,1
103902,,"Sol","14000",44,,0,,0,,0
103902,,"tb","340.65",18,"E",0,,0,,1
103902,,"tc","-9999",143,"D",0,,0,,1
103902,,"UseRfDPath","0",146,,0,,0,,1
106478,,"AntB","-9999",143,"D",0,,0,,1
106478,,"Antc","-9999",143,"D",0,,0,,1
50328,,"BCF_beef","0.443",49,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,"",0
57681,,"BCF_beef","0.00102",49,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,"",0
57830,,"BCF_beef","0.293",49,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,"",0
106478,,"BrExfruit","3.4",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
106478,,"BrExveg","3.4",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
106478,,"BrForage","3.4",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
106478,,"BrGrain","3.4",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
106478,,"BrProfruit","3.4",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
106478,,"BrProveg","3.4",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
106478,,"BrSilage","3.4",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
106478,,"Bs","1",144,,0,"Always 1",0,,1
106478,,"Bv","15",5,"C",1,"Calculated by model based on log Kow and HLC using correlation equation in cited reference.",0,,0
106478,,"CAS","106478",146,,0,,0,,0
58220,,"BCF_T3W","120",18,"E",0,,0,,0
58220,,"BCF_T4F","160",18,"E",0,,0,,0
58220,,"BCF_T4W","160",18,"E",0,,0,,0
60548,,"BCF_T3F","0.9",18,"E",0,"Updated logKow to -0.75 (Physprop has -1.3)",0,,0
60548,,"BCF_T3W","0.9",18,"E",0,"Updated logKow to -0.75 (Physprop has -1.3)",0,,0
60548,,"BCF_T4F","0.9",18,"E",0,"Updated logKow to -0.75 (Physprop has -1.3)",0,,0
60548,,"BCF_T4W","0.9",18,"E",0,"Updated logKow to -0.75 (Physprop has -1.3)",0,,0
68359,,"BCF_T3F","0.98",18,"E",0,,0,,0
106478,,"ChemName","Chloroaniline, 4-",146,,0,,0,,0
106478,,"ChemType","O",146,,0,,0,,1
106478,,"CSFOral","0.2",45,,0,,0,,0
106478,,"CTPWasteDry","4.76",71,,0,"Table 4-6; Lognormal",0,,0
106478,,"Da","0.0704",69,,1,,0,,0
106478,,"Dw","1.03E-5",69,,1,,0,,0
106478,,"HLC","3.31E-7",50,,1,,0,,0
106478,,"IUR","0",196,"M",0,,0,,0
106478,,"Kanaer","0.00096",27,,1,,0,,0
106478,,"kh","0",196,"M",1,,0,,0
106478,,"Koc","40.7",31,,1,,0,,0
106478,,"KpPar","18.07",25,,0,,0,,1
106478,,"ksoil","0.0039",27,,1,,0,,0
106478,,"LogKoc","1.61",31,,0,,0,,1
106478,,"LogKow","1.83",28,,1,,0,,0
106478,,"MW","127.57",50,,1,,0,,0
106478,,"Pc","-9999",143,"D",0,,0,,1
50282,,"RfD_water","5e-5",20,,0,"ADI",0,,1
106478,,"RCF","1.59",9,"C",1,"Calculated by model based on log Kow using correlation equation in cited reference.",0,,0
106478,,"RfC","0",196,"M",0,,0,,0
106478,,"RfD","0.004",29,,0,,0,,0
106478,,"RfD_fish","0.004",29,,0,,0,,1
106478,,"RfD_food","0.004",29,,0,,0,,1
106478,,"RfD_soil","0.004",29,,0,,0,,1
106478,,"RfD_water","0.004",29,,0,,0,,1
106478,,"Sol","3900",28,,0,,0,,0
106478,,"tb","232",50,,0,,0,,1
106478,,"tc","-9999",143,"D",0,,0,,1
106478,,"UseRfDPath","0",146,,0,,0,,1
7429905,,"ChemType","M",146,,0,,0,,1
7429905,,"CSFOral","0",196,"M",0,,0,,0
7429905,,"CTPWasteDry","34300",244,,0,"Table 11; lognormal",0,,0
7429905,,"Da","0",197,,0,"Not applicable to metals",0,,1
7429905,,"Density","2.7",15,,1,,0,,0
7429905,,"Dw","0.0000381",69,,1,"at 25 deg C",0,,0
7429905,,"HLC","0",197,,0,"Not applicable to metals",0,,1
7429905,,"IUR","0",196,"M",0,,0,,0
7429905,,"Kd","1500",6,,1,,0,,0
7429905,,"KpPar","18.07",25,,0,,0,,1
7429905,,"MW","26.98",15,,1,,0,,0
7429905,,"RfC","0.005",45,,0,,0,,0
50282,,"Sol","3.6",44,,0,"Experimental value at 27 deg C",0,,0
50282,,"tb","388.5",54,"E",0,,0,,1
50282,,"tc","-9999",143,"D",0,,0,,1
50282,,"UseRfDPath","0",146,,0,,0,,1
57625,,"AntB","-9999",143,"D",0,,0,,1
57625,,"Antc","-9999",143,"D",0,,0,,1
57625,,"BrExfruit","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
57625,,"BrExveg","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
57625,,"BrForage","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
50282,,"BCF_beef","0.321",49,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,"",0
103902,,"BCF_beef","0.0019",49,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,"",0
57625,,"BrGrain","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
57625,,"BrProfruit","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
57625,,"BrProveg","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
57625,,"BrSilage","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
57625,,"Bs","1",144,,0,"Always 1",0,,1
57625,,"Bv","0",143,"Z",1,"Set to zero: HLC <1E-10.",0,,0
57625,,"CAS","57625",146,,0,,0,,0
57625,,"ChemName","Chlortetracycline",146,,0,,0,,0
57625,,"ChemType","O",146,,0,,0,,1
57625,,"CSFOral","0",196,"M",0,,0,,0
68359,,"BCF_T3W","0.98",18,"E",0,,0,,0
68359,,"BCF_T4F","0.96",18,"E",0,,0,,0
68359,,"BCF_T4W","0.96",18,"E",0,,0,,0
72140,,"BCF_T3F","0.98",18,"E",0,,0,,0
72140,,"BCF_T3W","0.98",18,"E",0,,0,,0
57625,,"CTPWasteDry","1.01",245,,0,"Table 12; 1D",0,,0
57625,,"Da","0.0255",54,"E",1,,0,,0
57625,,"Dw","4.58E-6",54,"E",1,,0,,0
57625,,"HLC","0",143,"Z",1,"Low; set to zero",0,,0
57625,,"IUR","0",196,"M",0,,0,,0
57625,,"Kanaer","0.000428",18,"E",1,"Estimated ",0,,0
57625,,"kh","0",196,"M",1,,0,,0
57625,,"Koc","72.2",18,"E",1,,0,,0
57625,,"KpPar","18.07",25,,0,,0,,1
57625,,"ksoil","0.00193",18,"E",1,"Estimated ",0,,0
57625,,"LogKow","-0.62",44,,1,"Experimental value ",0,,0
57625,,"MW","478.89",44,,1,,0,,0
57625,,"Pc","-9999",143,"D",0,,0,,1
57625,,"RCF","0.831",9,"Bl",1,"Calculated by model based on lower-bound log Kow (-0.57) using correlation equation in cited reference.",0,,0
57625,,"RfC","0",196,"M",0,,0,,0
7429905,,"RfD","1",45,,0,,0,,0
7429905,,"RfD_fish","1",45,,0,,0,,1
7429905,,"RfD_food","1",45,,0,,0,,1
7429905,,"RfD_soil","1",45,,0,,0,,1
7429905,,"RfD_water","1",45,,0,,0,,1
7429905,,"Sol","100000",15,,0,"Insoluble in water; set to 1E+5 to prevent model crash with zero value",0,,1
7429905,,"tb","2520",15,,0,,0,,1
7429905,,"UseRfDPath","0",146,,0,,0,,1
7487947,,"ksoil","0",197,,0,"Metals are transformed, but not degraded; therefore, we assume degradation rates of zero.",0,,1
7487947,,"LogKow","-0.22",44,,1,"Experimental value ",0,,0
7487947,,"MW","272",15,,1,,0,,0
7487947,,"Pc","-9999",143,"D",0,,0,,1
7487947,,"RfC","0",197,,0,"Air modeled only for elemental mercury",0,,1
7487947,,"RfD","0",196,"M",1,,0,,1
7487947,,"RfD_fish","0.0001",29,,1,"Fish RfD is for methylmercury",0,,1
7487947,,"RfD_food","0.0003",29,,1,"Non-fish RfDs are for divalent mercury",0,,0
7487947,,"RfD_soil","0.0003",29,,1,"Non-fish RfDs are for divalent mercury",0,,0
7487947,,"RfD_water","0.0003",29,,1,"Non-fish RfDs are for divalent mercury",0,,0
7487947,,"Sol","69000",44,,0,"Experimental value at 20 deg C",0,,0
7487947,,"tb","304",15,,0,,0,,1
103902,,"CTPWaste","0.46",145,"C",0,"Calculated from CTPWasteDry assuming 40% solids",0,,1
7487947,,"tc","-9999",143,"D",0,,0,,1
7487947,,"UseRfDPath","1",146,,0,,0,,1
106478,,"CTPWaste","1.9",145,"C",0,"Calculated from CTPWasteDry assuming 40% solids",0,,1
7429905,,"CTPWaste","1.4E+04",145,"C",0,"Calculated from CTPWasteDry assuming 40% solids",0,,1
57625,,"RfD","0.03",20,,0,"ADI",0,,0
57625,,"RfD_fish","0.03",20,,0,"ADI",0,,1
57625,,"RfD_food","0.03",20,,0,"ADI",0,,1
57625,,"RfD_soil","0.03",20,,0,"ADI",0,,1
57625,,"RfD_water","0.03",20,,0,"ADI",0,,1
57625,,"Sol","630",44,,0,"Experimental value at 25 deg C",0,,0
57625,,"tb","814.3",54,"E",0,,0,,1
57830,,"ChemName","Progesterone",146,,0,,0,,0
57830,,"ChemType","O",146,,0,,0,,1
57830,,"CSFOral","0",196,"M",0,,0,,0
57830,,"CTPWasteDry","0.797",244,,0,"Table 10; Nonparametric K-M",0,,0
57830,,"Da","0.0308",54,"E",1,,0,,0
57830,,"Dw","4.77E-6",54,"E",1,,0,,0
57830,,"HLC","6.49E-8",18,"E",1,"Estimated by the bond contribution method at 25 deg C based on chemical structure. ",0,,0
57830,,"IUR","0",196,"M",0,,0,,0
57830,,"Kanaer","0.00128",18,"E",1,"Estimated ",0,,0
57830,,"kh","0",196,"M",1,,0,,0
57830,,"Koc","10100",18,"E",1,,0,,0
57830,,"KpPar","18.07",25,,0,,0,,1
57830,,"ksoil","0.00578",18,"E",1,"Estimated ",0,,0
57830,,"LogKow","3.87",44,,1,"Experimental value.",0,,0
57830,,"MW","314.47",44,,1,,0,,0
57830,,"Pc","-9999",143,"D",0,,0,,1
57830,,"RCF","28.8",9,"C",1,"Calculated by model based on log Kow using correlation equation in cited reference.",0,,0
57830,,"RfC","0",196,"M",0,,0,,0
57830,,"RfD","0.03",20,,0,"ADI",0,,0
57830,,"RfD_fish","0.03",20,,0,"ADI",0,,1
57830,,"RfD_food","0.03",20,,0,"ADI",0,,1
57830,,"RfD_soil","0.03",20,,0,"ADI",0,,1
57830,,"RfD_water","0.03",20,,0,"ADI",0,,1
57830,,"Sol","8.81",44,,0,"Experimental value at 25 deg C",0,,0
57830,,"tb","448.4",54,"E",0,,0,,1
57830,,"tc","-9999",143,"D",0,,0,,1
57830,,"UseRfDPath","0",146,,0,,0,,1
58220,,"AntB","-9999",143,"D",0,,0,,1
58220,,"Antc","-9999",143,"D",0,,0,,1
58220,,"BrExfruit","0.467",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
58220,,"BrExveg","0.467",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
58220,,"BrForage","0.467",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
58220,,"BrGrain","0.467",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
58220,,"BrProfruit","0.467",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
58220,,"BrProveg","0.467",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
58220,,"BrSilage","0.467",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
58220,,"Bs","1",144,,0,"Always 1",0,,1
58220,,"Bv","3150",5,"Bl",1,"Calculated by model based on log Kow and lower bound HLC (6.1E-8) using correlation equation in cited reference.",0,,0
58220,,"CAS","58220",146,,0,,0,,0
58220,,"ChemName","Testosterone",146,,0,,0,,0
58220,,"ChemType","O",146,,0,,0,,1
58220,,"CSFOral","0",196,"M",0,,0,,0
58220,,"CTPWasteDry","0.526",244,,0,"Table 10; Nonparametric K-M",0,,0
58220,,"Da","0.0328",54,"E",1,,0,,0
58220,,"Dw","5.09E-6",54,"E",1,,0,,0
58220,,"HLC","3.5E-9",18,"E",1,"Estimated by the bond contribution method at 25 deg C based on chemical structure.",0,,0
58220,,"IUR","0",196,"M",0,,0,,0
58220,,"Kanaer","0.00205",18,"E",1,"Estimated ",0,,0
58220,,"kh","0",196,"M",1,,0,,0
58220,,"Koc","2188",28,,1,"Log Koc values across several different soil samples ranged from 3.25-3.52; average log Koc of was 3.32 was used.",0,,0
58220,,"KpPar","18.07",25,,0,,0,,1
7439976,,"CTPWaste","1.2",145,"C",0,"Calculated from CTPWasteDry assuming 40% solids",0,,1
7439987,,"CTPWaste","16",145,"C",0,"Calculated from CTPWasteDry assuming 40% solids",0,,1
58220,,"ksoil","0.00924",18,"E",1,"Estimated ",0,,0
58220,,"LogKow","3.32",44,,1,"Experimental Value.",0,,0
58220,,"MW","288.42",44,,1,,0,,0
58220,,"Pc","-9999",143,"D",0,,0,,1
58220,,"RCF","10.9",9,"C",1,"Calculated by model based on log Kow using correlation equation in cited reference.",0,,0
58220,,"RfC","0",196,"M",0,,0,,0
58220,,"RfD","0.002",20,,0,"ADI",0,,0
58220,,"RfD_fish","0.002",20,,0,"ADI",0,,1
58220,,"RfD_food","0.002",20,,0,"ADI",0,,1
58220,,"RfD_soil","0.002",20,,0,"ADI",0,,1
58220,,"RfD_water","0.002",20,,0,"ADI",0,,1
58220,,"Sol","23.4",44,,0,"Experimental value at 25 deg C",0,,0
57625,,"CTPWaste","0.40",145,"C",0,"Calculated from CTPWasteDry assuming 40% solids",0,,1
58220,,"tb","446.9",54,"E",0,,0,,1
58220,,"tc","-9999",143,"D",0,,0,,1
58220,,"UseRfDPath","0",146,,0,,0,,1
60548,,"AntB","-9999",143,"D",0,,0,,1
60548,,"Antc","-9999",143,"D",0,,0,,1
106478,,"BCF_beef","0.0271",49,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,"",0
57625,,"BCF_beef","0.000128",49,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,"",0
58220,,"BCF_beef","0.186",49,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,"",0
